questionnaire,id,question,context,answer,type,an_answers,special_handling,answers
1,ee0437c0-6335-4b88-8bc5-d4eb8e2c68bf,Do you consent to our data processing practices?,"Yes, I consent to your data processing practices.",Yes,SINGLE_SELECT,['Yes'],,"[{'text': ['Yes'], 'answer_start': [0]}]"
1,d357ab84-929f-440a-b9ad-42ff36402a53,Do you consent to our data processing practices?,"No, I do not consent to your data processing practices.",No,SINGLE_SELECT,['No'],,"[{'text': ['No'], 'answer_start': [0]}]"
1,53cc44fa-397b-40bf-8af8-3f629818c93b,Which customer group are you targeting?,Our primary target customer group is the end user.,End User,SINGLE_SELECT,['end user'],,"[{'text': ['end user'], 'answer_start': [41]}]"
1,bab850d1-2de8-4cae-9f87-2c86d41615e8,Which customer group are you targeting?,We are currently targeting wholesalers and distributors.,"Wholesaler, Distributor",SINGLE_SELECT,['wholesalers and distributors'],,"[{'text': ['wholesalers and distributors'], 'answer_start': [27]}]"
1,31ffae1e-f742-4a0b-b279-eb393483f075,Which customer group are you targeting?,"Our target customer groups include consultants, planners, and architects.","Consultant, Planner, Architect",SINGLE_SELECT,"['consultants, planners, and architects']",,"[{'text': ['consultants, planners, and architects'], 'answer_start': [35]}]"
1,ed56f777-a7cd-48db-9d36-e2579c57e361,Which customer group are you targeting?,Our focus is on the R&D customer group.,R&D,SINGLE_SELECT,['R&D'],,"[{'text': ['R&D'], 'answer_start': [20]}]"
1,4ccbe8ae-ce37-4822-830a-542aa0475d30,Which of our products are you interested in?,We are particularly interested in your MY-SYSTEM and Notion products.,"MY-SYSTEM, Notion, JTS, JS EcoLine, AKW100, AX100",MULTI_SELECT,"['MY-SYSTEM', 'Notion']",,"[{'text': ['MY-SYSTEM', 'Notion'], 'answer_start': [39, 53]}]"
1,58fdea0d-46db-41ef-a089-825f6ebfbb99,Which of our products are you interested in?,We're interested in learning more about the Notion and JTS products.,"Notion, JTS, JS EcoLine, AKW100, AX100",MULTI_SELECT,"['Notion', 'JTS']",,"[{'text': ['Notion', 'JTS'], 'answer_start': [44, 55]}]"
1,13906f18-4e39-4d39-8da9-b5e49d9e4cc5,Which of our products are you interested in?,"At this time, we are most interested in the JTS and AKW100.","JTS, JS EcoLine, AKW100, AX100",MULTI_SELECT,"['AKW100', 'JTS']",,"[{'text': ['AKW100', 'JTS'], 'answer_start': [52, 44]}]"
1,1098f7be-b411-427b-a27a-28e16019c454,Which of our products are you interested in?,The JS EcoLine and AX100 are of particular interest to us.,"JS EcoLine, AKW100, AX100",MULTI_SELECT,"['JS EcoLine', 'AX100']",,"[{'text': ['JS EcoLine', 'AX100'], 'answer_start': [4, 19]}]"
1,313457eb-f171-4497-99d4-25fb971a9f9e,Which of our products are you interested in?,We'd like to know more about both the AKW100 and the AX100.,"AKW100, AX100",MULTI_SELECT,"['AKW100', 'AX100']",,"[{'text': ['AKW100', 'AX100'], 'answer_start': [38, 53]}]"
1,92be0772-2471-4a67-bcb3-18894db1fb5d,Which of our products are you interested in?,We are interested in your AX100 product.,AX100,MULTI_SELECT,['AX100'],,"[{'text': ['AX100'], 'answer_start': [26]}]"
1,54c28cbb-1da5-4797-a60a-69bf7f67d4d6,What kind of follow up is planned?,We plan to follow up with an email.,"Email, Phone, Schedule a Visit, No action",MULTI_SELECT,['email'],,"[{'text': ['email'], 'answer_start': [29]}]"
1,46cd9717-6aa9-4d75-8bc6-965b4fdf7d9d,What kind of follow up is planned?,We'll be scheduling a follow-up phone call.,"Phone, Schedule a Visit, No action",MULTI_SELECT,['phone'],,"[{'text': ['phone'], 'answer_start': [32]}]"
1,fd93612d-b5a7-4ac8-b3bf-6b2e441f7ef6,What kind of follow up is planned?,We plan to schedule a visit.,"Schedule a Visit, No action",MULTI_SELECT,['schedule a visit'],,"[{'text': ['schedule a visit'], 'answer_start': [11]}]"
1,0448361d-b380-4a4b-ac53-db242983a293,What kind of follow up is planned?,No further follow-up is planned at this time.,No action,MULTI_SELECT,['No further follow-up'],,"[{'text': ['No further follow-up'], 'answer_start': [0]}]"
1,6727080a-43f2-4198-9ae9-d5265c2968a2,Who should be copied in on follow-up communications?,Please cc Stephan Maier on all follow-up communications.,"Stephan Maier, Joachim Wagner, Erik Schneider, Oliver Eibel, Angelina Haug, Marisa Peng, Johannes Wagner, Jessica Hanke, Sandro Kalter, Jens Roschmann, Domiki Stein, Sean Kennin, Tim Persson",MULTI_SELECT,['Stephan Maier'],,"[{'text': ['Stephan Maier'], 'answer_start': [10]}]"
1,06f2722d-fc46-43d7-b019-e1c687268eb2,Who should be copied in on follow-up communications?,Please copy Joachim Wagner and Erik Schneider on any follow-up communication.,"Joachim Wagner, Erik Schneider, Oliver Eibel, Angelina Haug, Marisa Peng, Johannes Wagner, Jessica Hanke, Sandro Kalter, Jens Roschmann, Domiki Stein, Sean Kennin, Tim Persson",MULTI_SELECT,"['Joachim Wagner', 'Erik Schneider']",,"[{'text': ['Joachim Wagner', 'Erik Schneider'], 'answer_start': [12, 31]}]"
1,63ac3407-81ba-46c1-bdd4-44399f52a737,Who should be copied in on follow-up communications?,Erik Schneider and Angelina Haug should be cc'd on follow-up communications.,"Erik Schneider, Oliver Eibel, Angelina Haug, Marisa Peng, Johannes Wagner, Jessica Hanke, Sandro Kalter, Jens Roschmann, Domiki Stein, Sean Kennin, Tim Persson",MULTI_SELECT,"['Erik Schneider', 'Angelina Haug']",,"[{'text': ['Erik Schneider', 'Angelina Haug'], 'answer_start': [0, 19]}]"
1,200568b3-2cc0-4e93-8fdf-e5d46423b2f2,Who should be copied in on follow-up communications?,Please copy Oliver Eibel and Marisa Peng on follow-up communications.,"Oliver Eibel, Angelina Haug, Marisa Peng, Johannes Wagner, Jessica Hanke, Sandro Kalter, Jens Roschmann, Domiki Stein, Sean Kennin, Tim Persson",MULTI_SELECT,"['Marisa Peng', 'Oliver Eibel']",,"[{'text': ['Marisa Peng', 'Oliver Eibel'], 'answer_start': [29, 12]}]"
1,040e5aa8-79af-4033-a9bb-dd02591da101,Who should be copied in on follow-up communications?,Angelina Haug and Johannes Wagner should receive copies of follow-up communications.,"Angelina Haug, Marisa Peng, Johannes Wagner, Jessica Hanke, Sandro Kalter, Jens Roschmann, Domiki Stein, Sean Kennin, Tim Persson",MULTI_SELECT,"['Angelina Haug', 'Johannes Wagner']",,"[{'text': ['Angelina Haug', 'Johannes Wagner'], 'answer_start': [0, 18]}]"
1,c333e0fc-9a9d-4046-94bf-55e382c14f91,Who should be copied in on follow-up communications?,Please send a copy of follow-up communications to Marisa Peng and Jessica Hanke.,"Marisa Peng, Johannes Wagner, Jessica Hanke, Sandro Kalter, Jens Roschmann, Domiki Stein, Sean Kennin, Tim Persson",MULTI_SELECT,"['Jessica Hanke', 'Marisa Peng']",,"[{'text': ['Jessica Hanke', 'Marisa Peng'], 'answer_start': [66, 50]}]"
1,4801f26f-5f21-4135-9745-cb3723511eba,Who should be copied in on follow-up communications?,Johannes Wagner and Sandro Kalter should be copied on follow-up communications.,"Johannes Wagner, Jessica Hanke, Sandro Kalter, Jens Roschmann, Domiki Stein, Sean Kennin, Tim Persson",MULTI_SELECT,"['Johannes Wagner', 'Sandro Kalter']",,"[{'text': ['Johannes Wagner', 'Sandro Kalter'], 'answer_start': [0, 20]}]"
