id,answer,category,question,type,questionnaire,prompts_q,prompts_a,context
ee0437c0-6335-4b88-8bc5-d4eb8e2c68bf,Yes,Data processing consent,Do you consent to our data processing practices?,SINGLE_SELECT,1,"The followoing is the question topic for generation: Data processing consent;    To generate the question, write a natural question regarding 'Data processing consent'.     Keep a human tone to simulate the situation of a questionnaire. Output the question as plain text.    If the question already is a coherent sentence, return it with no modifications. Be extra careful    not to alter the semantic meaning of answers in the slightest and try to keep the wording as is.    Examples: Question topic: 'What kind of follow up is planned' Generated Question: 'What kind of follow up is planned?'    Question topic: 'What is the size of your business unit' Generated Question: 'What is the size of your business unit?'","To answer the questionnaire, write a natural, medium length text answer to the following question: 'Do you consent to our data processing practices?' The answer options are: 'Yes'.    Always incorporate at least one of the answers. Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text.","Yes, I consent to your data processing practices."
d357ab84-929f-440a-b9ad-42ff36402a53,No,Data processing consent,Do you consent to our data processing practices?,SINGLE_SELECT,1,"The followoing is the question topic for generation: Data processing consent;    To generate the question, write a natural question regarding 'Data processing consent'.     Keep a human tone to simulate the situation of a questionnaire. Output the question as plain text.    If the question already is a coherent sentence, return it with no modifications. Be extra careful    not to alter the semantic meaning of answers in the slightest and try to keep the wording as is.    Examples: Question topic: 'What kind of follow up is planned' Generated Question: 'What kind of follow up is planned?'    Question topic: 'What is the size of your business unit' Generated Question: 'What is the size of your business unit?'","To answer the questionnaire, write a natural, medium length text answer to the following question: 'Do you consent to our data processing practices?' The answer options are: 'No'.    Always incorporate at least one of the answers. Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text.","No, I do not consent to your data processing practices as they are currently described.  I would need more information about how my data will be used, stored, and protected before I can agree."
53cc44fa-397b-40bf-8af8-3f629818c93b,End User,Customer group,Which customer group are you targeting?,SINGLE_SELECT,1,"The followoing is the question topic for generation: Customer group;    To generate the question, write a natural question regarding 'Customer group'.     Keep a human tone to simulate the situation of a questionnaire. Output the question as plain text.    If the question already is a coherent sentence, return it with no modifications. Be extra careful    not to alter the semantic meaning of answers in the slightest and try to keep the wording as is.    Examples: Question topic: 'What kind of follow up is planned' Generated Question: 'What kind of follow up is planned?'    Question topic: 'What is the size of your business unit' Generated Question: 'What is the size of your business unit?'","To answer the questionnaire, write a natural, medium length text answer to the following question: 'Which customer group are you targeting?' The answer options are: 'End User'.    Always incorporate at least one of the answers. Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text.","Our primary target customer group is the end user.  We're focusing on individuals who will directly utilize our product, rather than businesses or resellers."
bab850d1-2de8-4cae-9f87-2c86d41615e8,"Wholesaler, Distributor",Customer group,Which customer group are you targeting?,SINGLE_SELECT,1,"The followoing is the question topic for generation: Customer group;    To generate the question, write a natural question regarding 'Customer group'.     Keep a human tone to simulate the situation of a questionnaire. Output the question as plain text.    If the question already is a coherent sentence, return it with no modifications. Be extra careful    not to alter the semantic meaning of answers in the slightest and try to keep the wording as is.    Examples: Question topic: 'What kind of follow up is planned' Generated Question: 'What kind of follow up is planned?'    Question topic: 'What is the size of your business unit' Generated Question: 'What is the size of your business unit?'","To answer the questionnaire, write a natural, medium length text answer to the following question: 'Which customer group are you targeting?' The answer options are: 'Wholesaler, Distributor'.    Always incorporate at least one of the answers. Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text.",Our current strategy focuses on wholesalers and distributors. We believe this channel allows us to reach a broader market more efficiently than focusing solely on individual retail customers.
31ffae1e-f742-4a0b-b279-eb393483f075,"Consultant, Planner, Architect",Customer group,Which customer group are you targeting?,SINGLE_SELECT,1,"The followoing is the question topic for generation: Customer group;    To generate the question, write a natural question regarding 'Customer group'.     Keep a human tone to simulate the situation of a questionnaire. Output the question as plain text.    If the question already is a coherent sentence, return it with no modifications. Be extra careful    not to alter the semantic meaning of answers in the slightest and try to keep the wording as is.    Examples: Question topic: 'What kind of follow up is planned' Generated Question: 'What kind of follow up is planned?'    Question topic: 'What is the size of your business unit' Generated Question: 'What is the size of your business unit?'","To answer the questionnaire, write a natural, medium length text answer to the following question: 'Which customer group are you targeting?' The answer options are: 'Consultant, Planner, Architect'.    Always incorporate at least one of the answers. Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text.","We're primarily targeting consultants, planners, and architects.  These professionals play a key role in specifying and recommending products for large-scale projects, making them influential in our sales pipeline."
ed56f777-a7cd-48db-9d36-e2579c57e361,R&D,Customer group,Which customer group are you targeting?,SINGLE_SELECT,1,"The followoing is the question topic for generation: Customer group;    To generate the question, write a natural question regarding 'Customer group'.     Keep a human tone to simulate the situation of a questionnaire. Output the question as plain text.    If the question already is a coherent sentence, return it with no modifications. Be extra careful    not to alter the semantic meaning of answers in the slightest and try to keep the wording as is.    Examples: Question topic: 'What kind of follow up is planned' Generated Question: 'What kind of follow up is planned?'    Question topic: 'What is the size of your business unit' Generated Question: 'What is the size of your business unit?'","To answer the questionnaire, write a natural, medium length text answer to the following question: 'Which customer group are you targeting?' The answer options are: 'R&D'.    Always incorporate at least one of the answers. Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text.","Our target customer group is primarily R&D departments within various industries. We believe our product offers unique benefits to those involved in research and development, helping to streamline their processes and accelerate innovation."
4ccbe8ae-ce37-4822-830a-542aa0475d30,"MY-SYSTEM, Notion, JTS, JS EcoLine, AKW100, AX100, Notion, JTS, JS EcoLine, AKW100, AX100, JTS, JS EcoLine, AKW100, AX100, JS EcoLine, AKW100, AX100, AKW100, AX100, AX100",Products interested in,Which of our products are you interested in?,MULTI_SELECT,1,"The followoing is the question topic for generation: Products interested in;    To generate the question, write a natural question regarding 'Products interested in'.     Keep a human tone to simulate the situation of a questionnaire. Output the question as plain text.    If the question already is a coherent sentence, return it with no modifications. Be extra careful    not to alter the semantic meaning of answers in the slightest and try to keep the wording as is.    Examples: Question topic: 'What kind of follow up is planned' Generated Question: 'What kind of follow up is planned?'    Question topic: 'What is the size of your business unit' Generated Question: 'What is the size of your business unit?'","To answer the questionnaire, write a natural, medium length text answer to the following question:     'Which of our products are you interested in?'. The answer options are 'MY-SYSTEM, Notion, JTS, JS EcoLine, AKW100, AX100, Notion, JTS, JS EcoLine, AKW100, AX100, JTS, JS EcoLine, AKW100, AX100, JS EcoLine, AKW100, AX100, AKW100, AX100, AX100'. Always incorporate at least one of the answers.     Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text.",We're particularly interested in the MY-SYSTEM and the AX100.  We've also reviewed the specifications for the JS EcoLine and are considering its suitability for some of our projects.
58fdea0d-46db-41ef-a089-825f6ebfbb99,"Notion, JTS, JS EcoLine, AKW100, AX100, JTS, JS EcoLine, AKW100, AX100, JS EcoLine, AKW100, AX100, AKW100, AX100, AX100",Products interested in,Which of our products are you interested in?,MULTI_SELECT,1,"The followoing is the question topic for generation: Products interested in;    To generate the question, write a natural question regarding 'Products interested in'.     Keep a human tone to simulate the situation of a questionnaire. Output the question as plain text.    If the question already is a coherent sentence, return it with no modifications. Be extra careful    not to alter the semantic meaning of answers in the slightest and try to keep the wording as is.    Examples: Question topic: 'What kind of follow up is planned' Generated Question: 'What kind of follow up is planned?'    Question topic: 'What is the size of your business unit' Generated Question: 'What is the size of your business unit?'","To answer the questionnaire, write a natural, medium length text answer to the following question:     'Which of our products are you interested in?'. The answer options are 'Notion, JTS, JS EcoLine, AKW100, AX100, JTS, JS EcoLine, AKW100, AX100, JS EcoLine, AKW100, AX100, AKW100, AX100, AX100'. Always incorporate at least one of the answers.     Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text.","At this time, we're most interested in the AKW100 and the AX100.  The JS EcoLine also looks promising, and we'd like to learn more about its capabilities."
13906f18-4e39-4d39-8da9-b5e49d9e4cc5,"JTS, JS EcoLine, AKW100, AX100, JS EcoLine, AKW100, AX100, AKW100, AX100, AX100",Products interested in,Which of our products are you interested in?,MULTI_SELECT,1,"The followoing is the question topic for generation: Products interested in;    To generate the question, write a natural question regarding 'Products interested in'.     Keep a human tone to simulate the situation of a questionnaire. Output the question as plain text.    If the question already is a coherent sentence, return it with no modifications. Be extra careful    not to alter the semantic meaning of answers in the slightest and try to keep the wording as is.    Examples: Question topic: 'What kind of follow up is planned' Generated Question: 'What kind of follow up is planned?'    Question topic: 'What is the size of your business unit' Generated Question: 'What is the size of your business unit?'","To answer the questionnaire, write a natural, medium length text answer to the following question:     'Which of our products are you interested in?'. The answer options are 'JTS, JS EcoLine, AKW100, AX100, JS EcoLine, AKW100, AX100, AKW100, AX100, AX100'. Always incorporate at least one of the answers.     Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text.","We are currently focusing our interest on the AX100.  The AKW100 is also of interest, and we'd appreciate more information on its specifications compared to the AX100."
1098f7be-b411-427b-a27a-28e16019c454,"JS EcoLine, AKW100, AX100, AKW100, AX100, AX100",Products interested in,Which of our products are you interested in?,MULTI_SELECT,1,"The followoing is the question topic for generation: Products interested in;    To generate the question, write a natural question regarding 'Products interested in'.     Keep a human tone to simulate the situation of a questionnaire. Output the question as plain text.    If the question already is a coherent sentence, return it with no modifications. Be extra careful    not to alter the semantic meaning of answers in the slightest and try to keep the wording as is.    Examples: Question topic: 'What kind of follow up is planned' Generated Question: 'What kind of follow up is planned?'    Question topic: 'What is the size of your business unit' Generated Question: 'What is the size of your business unit?'","To answer the questionnaire, write a natural, medium length text answer to the following question:     'Which of our products are you interested in?'. The answer options are 'JS EcoLine, AKW100, AX100, AKW100, AX100, AX100'. Always incorporate at least one of the answers.     Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text.",The AX100 is the product that most strongly interests us at the moment.  We are also interested in learning more about the JS EcoLine and how it compares to the AX100 in terms of features and price.
