level_0,index,id,option,question,type,questionnaire,prompts_a,answers_ft,prompt_cu
0.0,0,c1,"ISO 14001, LEED, B Corp, CarbonNeutral, Other",Which sustainability certifications or standards is your company pursuing or has already achieved?,MULTI_SELECT,1,"To answer the questionnaire, write a natural, medium length text answer to the following question:
     'Which sustainability certifications or standards is your company pursuing or has already achieved?'. The answer options are 'ISO 14001, LEED, B Corp, CarbonNeutral, Other'. Always incorporate at least one of the answers.
     Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text.","We're currently working towards achieving ISO 14001 certification for our environmental management system.  It's a significant undertaking, but we believe it's crucial for demonstrating our commitment to reducing our environmental impact and improving our overall sustainability performance.  We're also exploring options for a B Corp certification in the future, as we feel their comprehensive assessment aligns well with our broader sustainability goals.  We're still in the early stages of research for that one, though.
",
1.0,1,c2,"LEED, B Corp, CarbonNeutral, Other",Which sustainability certifications or standards is your company pursuing or has already achieved?,MULTI_SELECT,1,"To answer the questionnaire, write a natural, medium length text answer to the following question:
     'Which sustainability certifications or standards is your company pursuing or has already achieved?'. The answer options are 'LEED, B Corp, CarbonNeutral, Other'. Always incorporate at least one of the answers.
     Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text.","We're proud to be a certified B Corp!  The rigorous assessment process really pushed us to examine all aspects of our business, from our supply chain to our employee engagement, through a sustainability lens.  It's been a transformative experience. We're also looking into CarbonNeutral certification as our next step, as we're keen to further reduce our carbon footprint and offset unavoidable emissions.  It's a complex process, but we believe it's vital for our long-term sustainability strategy.
",
2.0,2,c3,"B Corp, CarbonNeutral, Other",Which sustainability certifications or standards is your company pursuing or has already achieved?,MULTI_SELECT,1,"To answer the questionnaire, write a natural, medium length text answer to the following question:
     'Which sustainability certifications or standards is your company pursuing or has already achieved?'. The answer options are 'B Corp, CarbonNeutral, Other'. Always incorporate at least one of the answers.
     Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text.","Currently, we're focused on achieving CarbonNeutral certification.  We've already made significant strides in reducing our carbon emissions through operational changes and investing in renewable energy, and this certification will help us verify and validate our progress.  While we haven't yet pursued B Corp certification, it's something we're actively considering for the future as we continue to build on our sustainability initiatives.  It's a very comprehensive program and we want to ensure we're ready for the rigorous assessment before applying.
",
3.0,3,c4,"CarbonNeutral, Other",Which sustainability certifications or standards is your company pursuing or has already achieved?,MULTI_SELECT,1,"To answer the questionnaire, write a natural, medium length text answer to the following question:
     'Which sustainability certifications or standards is your company pursuing or has already achieved?'. The answer options are 'CarbonNeutral, Other'. Always incorporate at least one of the answers.
     Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text.","We've recently achieved CarbonNeutral certification, which we're incredibly pleased about.  It's a testament to the hard work our team has put in to reduce our environmental impact.  The process itself was quite involved, requiring detailed carbon accounting and the implementation of various emission reduction strategies.  Beyond CarbonNeutral, we're also exploring other sustainability initiatives and certifications, focusing on areas like responsible sourcing and waste reduction,  but haven't committed to any specific programs yet.
",
4.0,4,c5,Other,Which sustainability certifications or standards is your company pursuing or has already achieved?,MULTI_SELECT,1,"To answer the questionnaire, write a natural, medium length text answer to the following question:
     'Which sustainability certifications or standards is your company pursuing or has already achieved?'. The answer options are 'Other'. Always incorporate at least one of the answers.
     Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text.","We don't currently hold any of the widely recognized sustainability certifications like LEED or B Corp.  However, we've developed a robust internal sustainability program focused on reducing our waste footprint. We've implemented a comprehensive recycling and composting program, significantly reduced our energy consumption through building upgrades, and are actively working on improving our supply chain sustainability.  We're actively exploring other relevant certifications that align with our specific sustainability goals, but haven't settled on a particular program yet.  Our internal program provides a strong foundation for future certification efforts.
",
5.0,5,i1,Very Important,How important is sustainability to your company's overall business strategy?,SINGLE_SELECT,1,"To answer the questionnaire, write a natural, medium length text answer to the following question: 'How important is sustainability to your company's overall business strategy?' The answer options are: 'Very Important'.
    Always incorporate at least one of the answers. Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text.","Sustainability is very important to our overall business strategy.  It's not just a matter of compliance or corporate social responsibility; it's integral to how we operate and how we see our future. We believe that environmental and social responsibility are essential for long-term business success.  We integrate sustainability considerations into all aspects of our operations, from product development to supply chain management, because we see it as a key driver of innovation, customer loyalty, and ultimately, profitability.
",
6.0,6,i2,Important,How important is sustainability to your company's overall business strategy?,SINGLE_SELECT,1,"To answer the questionnaire, write a natural, medium length text answer to the following question: 'How important is sustainability to your company's overall business strategy?' The answer options are: 'Important'.
    Always incorporate at least one of the answers. Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text.","Sustainability is important to our company's overall business strategy.  We recognize its growing importance to our customers, investors, and employees. While it's not yet fully integrated into every aspect of our operations, we're actively working to increase its prominence.  We're currently focusing on key areas like reducing our carbon footprint and improving our supply chain transparency.  We see sustainability as a continuous journey, and we're committed to making steady progress in this area.
",
7.0,7,i3,Somewhat Important,How important is sustainability to your company's overall business strategy?,SINGLE_SELECT,1,"To answer the questionnaire, write a natural, medium length text answer to the following question: 'How important is sustainability to your company's overall business strategy?' The answer options are: 'Somewhat Important'.
    Always incorporate at least one of the answers. Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text.","Sustainability is somewhat important to our company's overall business strategy.  We're aware of the increasing importance of environmental and social considerations, and we're actively working to incorporate more sustainable practices into our operations.  Currently, our focus is primarily on efficiency improvements that also happen to have positive environmental impacts, such as reducing waste and optimizing energy use. While it's not a primary driver of our strategic decisions at this point, we anticipate its importance will grow in the coming years and we’re planning accordingly.
",
8.0,8,i4,Not Important,How important is sustainability to your company's overall business strategy?,SINGLE_SELECT,1,"To answer the questionnaire, write a natural, medium length text answer to the following question: 'How important is sustainability to your company's overall business strategy?' The answer options are: 'Not Important'.
    Always incorporate at least one of the answers. Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text.","To be frank, sustainability is not currently a primary focus of our company's overall business strategy.  Our immediate priorities are centered on other key performance indicators, such as profitability and market share.  While we are mindful of environmental and social issues, we haven't yet formally incorporated sustainability goals into our strategic planning process.  This may change in the future as the business landscape evolves, but at present, our resources are allocated elsewhere.
",
9.0,9,e1,0-25%,What percentage of your company's energy consumption comes from renewable sources?,NUMBER,1,"To answer the questionnaire, write an natural, medium length text answer to the following question,
    'What percentage of your company's energy consumption comes from renewable sources?', including a numerical, realistic number,
    with the answer options being:
 0-25%
. Always incorporate at least one of the answers.
     Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text with a number.","Currently, about 15% of our company's energy consumption comes from renewable sources. This includes solar power generated from rooftop panels at our main office and the purchase of renewable energy credits to offset some of our grid electricity usage.  We're actively exploring options to increase this percentage in the coming years, but it's a gradual process involving significant investments and careful planning.
",
10.0,10,e2,26-50%,What percentage of your company's energy consumption comes from renewable sources?,NUMBER,1,"To answer the questionnaire, write an natural, medium length text answer to the following question,
    'What percentage of your company's energy consumption comes from renewable sources?', including a numerical, realistic number,
    with the answer options being:
 26-50%
. Always incorporate at least one of the answers.
     Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text with a number.","Approximately 35% of our company's energy consumption comes from renewable sources. We've made a concerted effort to increase our use of renewables, including installing solar panels on several of our facilities and purchasing green energy tariffs for our electricity supply.  We're aiming for even higher percentages in the future, and are exploring other options like wind power and potentially on-site generation for some of our operations.
",
11.0,11,e3,51-75%,What percentage of your company's energy consumption comes from renewable sources?,NUMBER,1,"To answer the questionnaire, write an natural, medium length text answer to the following question,
    'What percentage of your company's energy consumption comes from renewable sources?', including a numerical, realistic number,
    with the answer options being:
 51-75%
. Always incorporate at least one of the answers.
     Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text with a number.","Currently, 60% of our company's energy consumption comes from renewable sources.  This is a result of a multi-year strategy that involved significant investments in on-site renewable energy generation, primarily solar and wind, as well as the strategic procurement of renewable energy certificates.  We're constantly evaluating new technologies and opportunities to further increase our reliance on renewable energy and are aiming to reach 100% in the near future.
",
12.0,12,e4,Over 75%,What percentage of your company's energy consumption comes from renewable sources?,NUMBER,1,"To answer the questionnaire, write an natural, medium length text answer to the following question,
    'What percentage of your company's energy consumption comes from renewable sources?', including a numerical, realistic number,
    with the answer options being:
 Over 75%
. Always incorporate at least one of the answers.
     Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text with a number.","Over 80% of our company's energy consumption comes from renewable sources.  We've made a significant commitment to renewable energy, investing heavily in on-site solar and wind power generation, and supplementing that with carefully sourced renewable energy credits to cover any remaining non-renewable energy use. We are striving towards 100% renewable energy, and are currently exploring options to further optimize our energy consumption and generation to achieve that goal.
",
13.0,13,o1,"Cost, Lack of resources, Lack of employee engagement, Lack of clear metrics, Resistance to change",What are your company's main obstacles to achieving greater sustainability?,MULTI_SELECT,1,"To answer the questionnaire, write a natural, medium length text answer to the following question:
     'What are your company's main obstacles to achieving greater sustainability?'. The answer options are 'Cost, Lack of resources, Lack of employee engagement, Lack of clear metrics, Resistance to change'. Always incorporate at least one of the answers.
     Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text.","One of our main obstacles to achieving greater sustainability is cost.  Implementing many of the changes we'd like to make, such as upgrading to more energy-efficient equipment or sourcing materials from more sustainable suppliers, requires a significant upfront investment. While we understand the long-term benefits, justifying these expenditures in the short term can be challenging.  We're also working on improving employee engagement around sustainability initiatives –  ensuring everyone understands the importance of our efforts and feels empowered to contribute is crucial for success.
",
14.0,14,o2,"Lack of resources, Lack of employee engagement, Lack of clear metrics, Resistance to change",What are your company's main obstacles to achieving greater sustainability?,MULTI_SELECT,1,"To answer the questionnaire, write a natural, medium length text answer to the following question:
     'What are your company's main obstacles to achieving greater sustainability?'. The answer options are 'Lack of resources, Lack of employee engagement, Lack of clear metrics, Resistance to change'. Always incorporate at least one of the answers.
     Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text.","A significant obstacle for us is the lack of clear metrics to track our progress on sustainability initiatives.  While we're committed to improving, it's difficult to accurately measure the impact of our efforts without a robust system in place. We're currently working on developing more comprehensive data collection and reporting processes, but it's a time-consuming undertaking.  Furthermore, fostering greater employee engagement is key.  While many employees support our sustainability goals, we need to find better ways to actively involve them and integrate sustainability into their daily work.
",
15.0,15,o3,"Lack of employee engagement, Lack of clear metrics, Resistance to change",What are your company's main obstacles to achieving greater sustainability?,MULTI_SELECT,1,"To answer the questionnaire, write a natural, medium length text answer to the following question:
     'What are your company's main obstacles to achieving greater sustainability?'. The answer options are 'Lack of employee engagement, Lack of clear metrics, Resistance to change'. Always incorporate at least one of the answers.
     Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text.","Resistance to change is definitely a hurdle we face in our pursuit of greater sustainability.  Some teams are hesitant to adopt new processes or technologies, even when they offer environmental benefits, due to concerns about workflow disruptions or perceived added complexity. We're actively addressing this through training, clear communication about the benefits of sustainability initiatives, and demonstrating the practical advantages of these changes.  In addition, a lack of clear metrics makes it difficult to demonstrate the successes we *are* achieving, which further fuels resistance in some areas.  We're working to improve data collection and reporting to better showcase our progress.

",
16.0,16,o4,"Lack of clear metrics, Resistance to change",What are your company's main obstacles to achieving greater sustainability?,MULTI_SELECT,1,"To answer the questionnaire, write a natural, medium length text answer to the following question:
     'What are your company's main obstacles to achieving greater sustainability?'. The answer options are 'Lack of clear metrics, Resistance to change'. Always incorporate at least one of the answers.
     Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text.","One of the biggest challenges we face is the lack of clear metrics to measure our sustainability performance.  It's difficult to demonstrate progress and justify further investments without reliable data on our environmental impact.  We're working to develop a more robust system for tracking key indicators, but it's a process that takes time and resources.  Coupled with that is some resistance to change;  introducing new, more sustainable practices often requires adjustments to existing workflows, and some teams are naturally hesitant to embrace these changes until they see the clear benefits and have the support they need.
",
17.0,17,o5,Resistance to change,What are your company's main obstacles to achieving greater sustainability?,MULTI_SELECT,1,"To answer the questionnaire, write a natural, medium length text answer to the following question:
     'What are your company's main obstacles to achieving greater sustainability?'. The answer options are 'Resistance to change'. Always incorporate at least one of the answers.
     Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text.","Honestly, the biggest obstacle we face in becoming more sustainable is resistance to change within the company.  While leadership is fully committed, getting buy-in from all departments and individuals has been more challenging than anticipated. Some teams are resistant to adopting new, more sustainable practices due to concerns about increased costs, efficiency losses, or simply the disruption to their established workflows.  We're working on addressing these concerns through better communication, training, and by demonstrating the long-term benefits of our sustainability initiatives.
",
18.0,18,m1,"CRM Software (Salesforce, HubSpot, etc.)",What is your company's primary method for managing customer relationships?,SINGLE_SELECT,1,"To answer the questionnaire, write a natural, medium length text answer to the following question: 'What is your company's primary method for managing customer relationships?' The answer options are: 'CRM Software (Salesforce, HubSpot, etc.)'.
    Always incorporate at least one of the answers. Keep a human tone to simulate the situation of a questionnaire and return the answer as unstructured, plain text.","Our primary method for managing customer relationships is through Salesforce.  We utilize its features for lead management, sales tracking, and customer support ticketing to ensure consistent and efficient communication with our clients.  It allows us to centralize all customer data, track interactions, and personalize our communications, which is vital for building strong, lasting relationships.  While we also use email and phone calls for direct interaction, Salesforce acts as the backbone of our CRM strategy.
",
